ID_event,granule_couple,coordinates,sensing_time,detector_number,N_v,N_h,N_eff
Mexico_0,"[0, 2]",[  25.43221955 -100.2269484 ],2021-03-25 17:26:43,6,183.0,-2.0,183.0109286354233
Mexico_0,"[2, 4]",[  25.21910749 -100.28070636],2021-03-25 17:26:47,6,183.0,-2.0,183.0109286354233
Greece_5,"[0, 2]",[38.54562942 24.2867681 ],2019-07-05 09:19:45,6,112.0,-31.0,116.21101496846157
Kenya_0,"[0, 2]",[-0.18613292 37.37748282],2019-02-28 07:59:53,6,182.0,-13.0,182.4636950190366
Hungary_0,"[0, 1]",[47.36679297 19.84754081],2017-08-03 09:47:23,6,181.0,-12.0,181.39735389470266
Hungary_0,"[1, 2]",[47.15672067 19.76401333],2017-08-03 09:47:27,6,182.0,-13.0,182.4636950190366
France_1,"[0, 2]",[43.60980383  5.83979465],2017-07-24 10:38:47,6,184.0,-0.0,184.0
