ID_event,granule_couple,coordinates,sensing_time,detector_number,N_v,N_h,N_eff
Mexico_0,"[0, 2]",[  25.43221955 -100.2269484 ],2021-03-25 17:26:43,6,-164.0,0.0,164.0
Mexico_0,"[2, 4]",[  25.21910749 -100.28070636],2021-03-25 17:26:47,6,-164.0,0.0,164.0
Greece_5,"[2, 4]",[38.33379261 24.22004876],2019-07-05 09:19:49,6,-165.0,1.0,165.00303027520434
Kenya_0,"[0, 2]",[-0.18613292 37.37748282],2019-02-28 07:59:53,6,-164.0,0.0,164.0
Kenya_0,"[2, 4]",[-0.40036289 37.3305413 ],2019-02-28 07:59:56,6,-164.0,0.0,164.0
Hungary_0,"[0, 1]",[47.36679297 19.84754081],2017-08-03 09:47:23,6,-165.0,0.0,165.0
France_1,"[0, 2]",[43.60980383  5.83979465],2017-07-24 10:38:47,6,-166.0,0.0,166.0
