ID_event,granule_couple,coordinates,sensing_time,detector_number,N_v,N_h,N_eff
Tinakula_01,"[0, 1]",[-10.23218412 165.81831049],28/10/2021 23:19,5,-173,-13,173.4877517
Tinakula_01,"[1, 2]",[-10.44608805 165.76990297],28/10/2021 23:19,5,-172,-13,172.4905795
Tinakula_02,"[0, 1]",[-10.22186893 165.82589068],22/12/2021 23:19,5,-171,-2,171.0116955
Tinakula_02,"[1, 2]",[-10.43557602 165.7775    ],22/12/2021 23:19,5,-171,-2,171.0116955
France_0,"[0, 1]",[43.53382764  6.43453522],17/08/2021 10:38,8,184,-11,184.3285111
France_0,"[1, 2]",[43.32303147  6.35728414],17/08/2021 10:38,8,184,-11,184.3285111
France_0,"[3, 4]",[43.1091784   6.58455583],17/08/2021 10:39,9,-173,-11,173.3493582
Greece_0,"[0, 1]",[38.14339425 23.31897952],18/08/2021 09:19,3,-173,-2,173.0115603
Greece_0,"[1, 2]",[37.93149295 23.25533826],18/08/2021 09:19,3,-173,-2,173.0115603
Greece_1,"[0, 1]",[36.87725523 22.3697732 ],06/08/2021 09:30,10,185,-10,185.2700731
Greece_1,"[1, 3]",[36.66579644 22.30233357],06/08/2021 09:30,10,186,-9,186.2176146
Greece_1,"[2, 4]",[36.87362375 22.65103472],06/08/2021 09:30,11,-175,-11,175.3453735
Greece_1,"[4, 5]",[36.66229348 22.58384462],06/08/2021 09:30,11,-174,-12,174.4133022
Greece_2,"[0, 1]",[37.12656763 27.75915715],02/08/2021 09:00,2,188,-6,188.0957203
Greece_2,"[1, 2]",[36.91438593 27.69717817],02/08/2021 09:00,2,188,-6,188.0957203
Greece_2,"[3, 4]",[36.92941197 27.98872005],02/08/2021 09:00,3,-173,-2,173.0115603
Latvia_0,"[0, 1]",[57.41983627 24.78911807],26/07/2021 09:54,12,189,-7,189.1295852
Latvia_0,"[1, 2]",[57.21535987 24.65175381],26/07/2021 09:54,12,190,-7,190.1289036
Latvia_0,"[3, 4]",[5.74912015e+01 5.22216109e-03],26/07/2021 23:20,4,185,-14,185.5289735
Latvia_0,"[4, 5]",[ 57.28407654 179.88685531],26/07/2021 23:20,4,185,-14,185.5289735
Mexico_0,"[0, 2]",[  25.43221955 -100.2269484 ],25/03/2021 17:26,6,184,-2,184.0108692
Mexico_0,"[1, 3]",[  25.53316763 -100.44335018],25/03/2021 17:26,5,-170,-2,170.0117643
Mexico_0,"[2, 4]",[  25.21910749 -100.28070636],25/03/2021 17:26,6,184,-2,184.0108692
Mexico_0,"[3, 5]",[  25.32000541 -100.49695297],25/03/2021 17:26,5,-170,-2,170.0117643
Spain_2,"[0, 1]",[40.30472697 -5.63859667],29/08/2020 11:20,5,-171,-2,171.0116955
Spain_2,"[1, 2]",[40.09309341 -5.7070241 ],29/08/2020 11:20,5,-171,-2,171.0116955
Greece_3,"[0, 1]",[36.85008557 22.65149156],23/08/2020 09:20,2,188,-6,188.0957203
Greece_3,"[1, 3]",[36.63793924 22.58919179],23/08/2020 09:20,2,188,-6,188.0957203
Greece_3,"[2, 4]",[36.73967176 22.33530012],23/08/2020 09:20,1,-175,-2,175.0114282
Greece_3,"[4, 5]",[36.52785681 22.27353411],23/08/2020 09:20,1,-175,-1,175.0028571
Ukraine_0,"[0, 1]",[51.51583546 30.24973418],12/04/2020 09:05,2,189,-6,189.0952141
Ukraine_0,"[1, 3]",[51.30617494 30.16065225],12/04/2020 09:05,2,189,-6,189.0952141
Ukraine_0,"[2, 4]",[51.41583091 29.83809144],12/04/2020 09:06,1,-176,-2,176.0113633
Ukraine_0,"[4, 5]",[51.20591768 29.7509211 ],12/04/2020 09:06,1,-176,-2,176.0113633
Australia_1,"[0, 1]",[-29.83121271 152.40834567],07/11/2019 23:55,1,-179,-13,179.4714462
Australia_1,"[1, 2]",[-30.04284086 152.34716703],07/11/2019 23:55,1,-179,-13,179.4714462
Italy_0,"[3, 0]",[41.38649893 14.27077203],20/09/2019 09:59,3,-173,-2,173.0115603
Italy_0,"[4, 1]",[41.07066579 14.46473909],20/09/2019 09:59,4,186,-4,186.0430058
Italy_0,"[2, 4]",[41.28208418 14.53354136],20/09/2019 09:59,4,185,-3,185.0243227
Italy_0,"[3, 5]",[41.38649657 14.27077124],20/09/2019 09:59,3,-173,-2,173.0115603
Italy_0,"[4, 6]",[41.07066343 14.46473831],20/09/2019 09:59,4,186,-4,186.0430058
Bolivia_0,"[0, 1]",[-15.86435133 -62.27326159],21/08/2019 14:27,4,184,-14,184.5318401
Bolivia_0,"[1, 2]",[-16.0776726  -62.32367337],21/08/2019 14:27,4,184,-14,184.5318401
Bolivia_1,"[0, 2]",[-15.67543019 -60.37377113],01/08/2019 14:26,12,189,-8,189.1692364
Bolivia_1,"[1, 3]",[-15.55441233 -60.58932184],01/08/2019 14:27,11,-176,-12,176.4086166
Bolivia_1,"[2, 4]",[-15.88886501 -60.42205126],01/08/2019 14:27,12,189,-7,189.1295852
Bolivia_1,"[3, 5]",[-15.76781477 -60.6379242 ],01/08/2019 14:27,11,-175,-12,175.4109461
Greece_4,"[0, 2]",[38.66504382 23.75344762],14/08/2019 09:19,4,184,-14,184.5318401
Greece_4,"[1, 3]",[38.76858172 23.50011462],14/08/2019 09:19,3,-176,-13,176.4794606
Greece_4,"[2, 4]",[38.45335558 23.68865467],14/08/2019 09:19,4,184,-14,184.5318401
Greenland_0,"[1, 2]",[ 67.10963334 -52.95967369],12/08/2019 15:14,2,188,-17,188.7670522
Greenland_0,"[2, 4]",[ 66.90803039 -53.15741923],12/08/2019 15:14,2,188,-16,188.6796226
Greenland_0,"[3, 5]",[ 67.04059192 -53.64196581],12/08/2019 15:14,1,-180,-13,180.4688339
Greece_5,"[0, 2]",[38.54562942 24.2867681 ],05/07/2019 09:19,6,183,-13,183.4611676
Greece_5,"[1, 3]",[38.65142618 24.03804885],05/07/2019 09:19,5,-173,-13,173.4877517
Greece_5,"[2, 4]",[38.33379261 24.22004876],05/07/2019 09:19,6,184,-12,184.3908891
Greece_5,"[3, 5]",[38.43962414 23.97193934],05/07/2019 09:19,5,-174,-13,174.4849564
Kenya_0,"[0, 2]",[-0.18613292 37.37748282],28/02/2019 07:59,6,182,-13,182.463695
Kenya_0,"[1, 3]",[-0.08646957 37.18104514],28/02/2019 07:59,5,-172,-13,172.4905795
Kenya_0,"[2, 4]",[-0.40036289 37.3305413 ],28/02/2019 07:59,6,183,-13,183.4611676
Kenya_0,"[3, 5]",[-0.30051684 37.13372073],28/02/2019 08:00,5,-172,-13,172.4905795
Latvia_1,"[0, 2]",[58.02968286 25.20309513],01/08/2018 09:54,12,189,-7,189.1295852
Latvia_1,"[1, 3]",[58.17764184 24.84466876],01/08/2018 09:54,11,-176,-12,176.4086166
Latvia_1,"[2, 4]",[57.82558884 25.06147339],01/08/2018 09:54,12,189,-8,189.1692364
Latvia_1,"[3, 5]",[57.97327111 24.7050603 ],01/08/2018 09:54,11,-176,-12,176.4086166
Latvia_1,"[7, 8]",[ 58.01769738 179.87798942],01/08/2018 23:20,3,-176,-13,176.4794606
Latvia_1,"[8, 9]",[ 57.81043091 179.75894015],01/08/2018 23:20,3,-176,-13,176.4794606
Sweden_0,"[0, 2]",[61.85379414 14.57707333],17/07/2018 10:43,10,187,-9,187.2164523
Sweden_0,"[1, 3]",[61.99615432 14.1921847 ],17/07/2018 10:43,9,-174,-11,174.3473544
Sweden_0,"[2, 4]",[61.65170965 14.40848636],17/07/2018 10:43,10,186,-9,186.2176146
Spain_5,"[0, 2]",[38.45948435 -2.29408113],28/07/2017 11:10,10,186,-9,186.2176146
Spain_5,"[1, 3]",[38.57670835 -2.54460667],28/07/2017 11:10,9,-172,-11,172.3513853
Spain_5,"[2, 4]",[38.24798603 -2.36405686],28/07/2017 11:10,10,185,-9,185.2187895
Copahue_NE_21,"[0, 2]",[-37.86656184 -70.95616896],06/10/2018 14:53,12,193,4,193.0414463
Copahue_NE_21,"[1, 3]",[-37.73988249 -71.21837549],06/10/2018 14:53,11,-176,0,176
Copahue_NE_21,"[2, 4]",[-38.07783582 -71.01850691],06/10/2018 14:53,12,193,4,193.0414463
Copahue_NE_21,"[3, 5]",[-37.95135849 -71.28061956],06/10/2018 14:53,11,-176,-1,176.0028409
Piton_de_la_Fournaise_NE_00,"[0, 1]",[-21.18662371  55.71158051],01/01/2021 06:35,8,185,-11,185.3267385
Piton_de_la_Fournaise_NE_00,"[1, 2]",[-21.39958457  55.66021607],01/01/2021 06:35,8,185,-11,185.3267385
Piton_de_la_Fournaise_NE_02,"[0, 1]",[-21.15238884  55.72282965],16/01/2021 06:35,8,186,-1,186.0026882
Piton_de_la_Fournaise_NE_02,"[1, 2]",[-21.36554846  55.67139041],16/01/2021 06:35,8,186,-1,186.0026882
Poas_NE_20,"[0, 2]",[ 10.25015681 -84.12372065],07/11/2016 16:10,4,182,-14,182.5376673
