ID_event,granule_couple,coordinates,sensing_time,detector_number,N_v,N_h,N_eff
Barren_Island_00,"[0, 2]",[12.37439137 93.92485115],2018-09-28 04:24:50,10,-83.0,-1.0,83.00603
Barren_Island_00,"[1, 3]",[12.48507942 93.72056757],2018-09-28 04:24:53,9,83.0,0.0,83.0
Barren_Island_00,"[2, 4]",[12.16041604 93.87555224],2018-09-28 04:24:53,10,-83.0,-1.0,83.00603
Barren_Island_01,"[0, 2]",[12.32987187 93.9178503 ],2018-10-28 04:24:51,10,-83.0,-1.0,83.00603
Barren_Island_01,"[1, 3]",[12.44087491 93.71370838],2018-10-28 04:24:55,9,83.0,-0.0,83.0
Barren_Island_01,"[2, 4]",[12.11619451 93.86871486],2018-10-28 04:24:55,10,-83.0,-1.0,83.00603
Barren_Island_02,"[0, 2]",[12.37075955 93.926569  ],2021-07-29 04:24:56,10,-83.0,-1.0,83.00603
Barren_Island_02,"[1, 3]",[12.48125208 93.72234549],2021-07-29 04:24:59,9,82.0,0.0,82.0
Barren_Island_02,"[2, 4]",[12.15677035 93.87739786],2021-07-29 04:24:59,10,-83.0,-1.0,83.00603
Barren_Island_10,"[0, 1]",[12.45568818 93.96844714],2017-01-16 04:24:44,10,-83.0,-1.0,83.00603
Barren_Island_10,"[1, 3]",[12.24173121 93.91903633],2017-01-16 04:24:48,10,-83.0,-1.0,83.00603
Barren_Island_10,"[2, 4]",[12.3524577  93.71471902],2017-01-16 04:24:52,9,83.0,0.0,83.0
Barren_Island_11,"[0, 1]",[12.46106318 93.96536214],2017-02-05 04:24:46,10,-83.0,-1.0,83.00603
Barren_Island_11,"[1, 3]",[12.24712523 93.91582271],2017-02-05 04:24:50,10,-83.0,-1.0,83.00603
Barren_Island_11,"[2, 4]",[12.35774243 93.71159172],2017-02-05 04:24:53,9,83.0,-0.0,83.0
Chillan_Nevados_de_00,"[0, 1]",[-36.76152981 -71.23153243],2020-07-04 14:43:11,1,85.0,-1.0,85.00588
Chillan_Nevados_de_00,"[1, 2]",[-36.97213547 -71.30136325],2020-07-04 14:43:15,1,85.0,-1.0,85.00588
Chillan_Nevados_de_01,"[0, 1]",[-36.72829963 -71.22820709],2021-05-25 14:43:09,1,85.0,-1.0,85.00588
Chillan_Nevados_de_01,"[1, 2]",[-36.93911341 -71.29770804],2021-05-25 14:43:13,1,85.0,-1.0,85.00588
Chillan_Nevados_de_02,"[0, 1]",[-36.72140645 -71.22672918],2021-07-29 14:43:10,1,85.0,-1.0,85.00588
Chillan_Nevados_de_02,"[1, 2]",[-36.93193246 -71.29650734],2021-07-29 14:43:14,1,85.0,-1.0,85.00588
Copahue_01,"[0, 1]",[-37.68945488 -71.2609153 ],2021-10-07 14:43:20,2,-85.0,1.0,85.00588
Copahue_01,"[1, 3]",[-37.9001027  -71.33120525],2021-10-07 14:43:23,2,-85.0,1.0,85.00588
Copahue_01,"[2, 4]",[-37.67750396 -70.96217023],2021-10-07 14:43:23,3,84.0,-0.0,84.0
Copahue_01,"[4, 5]",[-37.88823839 -71.03115067],2021-10-07 14:43:27,3,84.0,0.0,84.0
Copahue_20,"[0, 1]",[-37.72481308 -71.27205607],2019-10-13 14:43:23,2,-85.0,1.0,85.00588
Copahue_20,"[1, 3]",[-37.93541484 -71.3425861 ],2019-10-13 14:43:26,2,-85.0,1.0,85.00588
Copahue_20,"[2, 4]",[-37.71277597 -70.97264   ],2019-10-13 14:43:26,3,84.0,-1.0,84.00595
Copahue_20,"[4, 5]",[-37.92354663 -71.04186055],2019-10-13 14:43:30,3,84.0,-1.0,84.00595
Copahue_21,"[0, 1]",[-37.70888739 -71.26319377],2019-11-12 14:43:22,2,-85.0,1.0,85.00588
Copahue_21,"[1, 3]",[-37.9197503  -71.33268692],2019-11-12 14:43:25,2,-85.0,1.0,85.00588
Copahue_21,"[2, 4]",[-37.69698248 -70.96362802],2019-11-12 14:43:25,3,84.0,-1.0,84.00595
Copahue_21,"[4, 5]",[-37.90799368 -71.03241586],2019-11-12 14:43:29,3,84.0,-1.0,84.00595
Copahue_30,"[0, 2]",[-37.9416861  -70.96837955],2017-07-18 14:53:19,12,-86.0,-2.0,86.023254
Copahue_30,"[1, 3]",[-37.814859   -71.23048023],2017-07-18 14:53:23,11,85.0,0.0,85.0
Copahue_30,"[3, 4]",[-38.02640357 -71.29176867],2017-07-18 14:53:26,11,85.0,0.0,85.0
Etna_00,"[0, 2]",[37.78839439 15.1170077 ],2021-08-30 10:00:03,10,-83.0,-1.0,83.00603
Etna_00,"[1, 3]",[37.90576525 14.8680765 ],2021-08-30 10:00:07,9,83.0,0.0,83.0
Etna_00,"[2, 4]",[37.5769621  15.04769359],2021-08-30 10:00:07,10,-83.0,-1.0,83.00603
Etna_00,"[3, 5]",[37.69403264 14.79950582],2021-08-30 10:00:10,9,83.0,0.0,83.0
Etna_01,"[0, 1]",[37.91166975 15.11632571],2021-09-21 09:50:15,1,85.0,-1.0,85.00588
Etna_01,"[1, 2]",[37.69918393 15.05553157],2021-09-21 09:50:18,1,85.0,-1.0,85.00588
Etna_02,"[0, 1]",[37.75754591 15.07075285],2022-06-03 09:50:14,1,84.0,-1.0,84.00595
Etna_02,"[1, 2]",[37.54515673 15.0097868 ],2022-06-03 09:50:18,1,85.0,-1.0,85.00588
Etna_03,"[0, 1]",[37.73354552 15.06005608],2019-05-30 09:50:23,1,84.0,-1.0,84.00595
Fuego_00,"[0, 2]",[ 14.38771225 -90.73683059],2021-09-06 16:39:28,4,-83.0,0.0,83.0
Fuego_00,"[1, 3]",[ 14.48572126 -90.9420294 ],2021-09-06 16:39:31,3,83.0,-1.0,83.00603
Fuego_01,"[0, 2]",[ 14.50726828 -90.7186214 ],2021-09-21 16:39:32,4,-83.0,0.0,83.0
Fuego_01,"[1, 3]",[ 14.60558953 -90.92425786],2021-09-21 16:39:36,3,83.0,-0.0,83.0
Fuego_01,"[2, 4]",[ 14.29349908 -90.76726472],2021-09-21 16:39:36,4,-83.0,0.0,83.0
Fuego_01,"[3, 5]",[ 14.39174178 -90.97260533],2021-09-21 16:39:39,3,83.0,-1.0,83.00603
Fuego_02,"[0, 2]",[ 14.5193591  -90.72325757],2021-10-11 16:39:34,4,-83.0,0.0,83.0
Fuego_02,"[1, 3]",[ 14.61761477 -90.92911751],2021-10-11 16:39:38,3,83.0,-1.0,83.00603
Fuego_02,"[2, 4]",[ 14.30548083 -90.77196611],2021-10-11 16:39:38,4,-83.0,0.0,83.0
Fuego_02,"[3, 5]",[ 14.40352781 -90.97740943],2021-10-11 16:39:42,3,83.0,-1.0,83.00603
Karangetang_00,"[0, 1]",[  2.95875051 125.29084847],2018-11-25 02:06:32,2,-84.0,1.0,84.00595
Karangetang_00,"[1, 2]",[  2.74480575 125.24396088],2018-11-25 02:06:36,2,-84.0,1.0,84.00595
Karangetang_00,"[3, 4]",[  2.76232893 125.47660821],2018-11-25 02:06:40,3,83.0,-1.0,83.00603
Karangetang_01,"[0, 1]",[  2.98869586 125.28285167],2018-11-30 02:06:35,2,-84.0,1.0,84.00595
Karangetang_01,"[1, 2]",[  2.77468831 125.23591311],2018-11-30 02:06:39,2,-84.0,1.0,84.00595
Karangetang_01,"[3, 4]",[  2.79198224 125.46834444],2018-11-30 02:06:43,3,83.0,-1.0,83.00603
Karangetang_01,"[4, 5]",[  2.57792221 125.42124133],2018-11-30 02:06:46,3,83.0,-1.0,83.00603
Karangetang_02,"[0, 1]",[  2.97280482 125.28781561],2018-12-15 02:06:31,2,-83.0,1.0,83.00603
Karangetang_02,"[1, 2]",[  2.7586348 125.2406599],2018-12-15 02:06:35,2,-83.0,1.0,83.00603
