ID_event,granule_couple,coordinates,sensing_time,detector_number,N_v,N_h,N_eff,
Etna_02,"[1, 2]",[37.54515673 15.0097868 ],03/06/2022 09:50,1,29,0,29,
,,,,,,,,
Etna_03,"[0, 1]",[37.73354552 15.06005608],30/05/2019 09:50,1,29,0,29,
,,,,,,,,
Fuego_00,"[0, 2]",[ 14.38771225 -90.73683059],06/09/2021 16:39,4,-29,1,29.017237,
,,,,,,,,
Fuego_00,"[1, 3]",[ 14.48572126 -90.9420294 ],06/09/2021 16:39,3,28,0,28,
,,,,,,,,
Fuego_01,"[0, 2]",[ 14.50726828 -90.7186214 ],21/09/2021 16:39,4,-29,1,29.017237,
,,,,,,,,
Fuego_01,"[1, 3]",[ 14.60558953 -90.92425786],21/09/2021 16:39,3,28,0,28,
,,,,,,,,
Fuego_01,"[2, 4]",[ 14.29349908 -90.76726472],21/09/2021 16:39,4,-29,1,29.017237,
,,,,,,,,
Fuego_01,"[3, 5]",[ 14.39174178 -90.97260533],21/09/2021 16:39,3,28,0,28,
,,,,,,,,
Fuego_02,"[0, 2]",[ 14.5193591  -90.72325757],11/10/2021 16:39,4,-29,1,29.017237,
,,,,,,,,
Fuego_02,"[1, 3]",[ 14.61761477 -90.92911751],11/10/2021 16:39,3,28,0,28,
,,,,,,,,
Fuego_02,"[2, 4]",[ 14.30548083 -90.77196611],11/10/2021 16:39,4,-29,1,29.017237,
,,,,,,,,
Fuego_02,"[3, 5]",[ 14.40352781 -90.97740943],11/10/2021 16:39,3,28,0,28,
,,,,,,,,
Karangetang_00,"[0, 1]",[  2.95875051 125.29084847],25/11/2018 02:06,2,-29,1,29.017237,
,,,,,,,,
Karangetang_00,"[1, 2]",[  2.74480575 125.24396088],25/11/2018 02:06,2,-29,1,29.017237,
,,,,,,,,
Karangetang_00,"[3, 4]",[  2.76232893 125.47660821],25/11/2018 02:06,3,28,0,28,
,,,,,,,,
Karangetang_01,"[0, 1]",[  2.98869586 125.28285167],30/11/2018 02:06,2,-29,1,29.017237,
,,,,,,,,
Karangetang_01,"[1, 2]",[  2.77468831 125.23591311],30/11/2018 02:06,2,-29,1,29.017237,
,,,,,,,,
Karangetang_01,"[3, 4]",[  2.79198224 125.46834444],30/11/2018 02:06,3,28,0,28,
,,,,,,,,
Karangetang_01,"[4, 5]",[  2.57792221 125.42124133],30/11/2018 02:06,3,28,0,28,
,,,,,,,,
Krakatau_00,"[0, 1]",[ -6.06351319 105.43402426],07/08/2021 03:19,1,29,0,29,
,,,,,,,,
Krakatau_00,"[1, 2]",[ -6.27736875 105.38611108],07/08/2021 03:19,1,28,-1,28.01785,
,,,,,,,,
Krakatau_01,"[0, 1]",[ -6.08339856 105.42777528],21/09/2021 03:19,1,28,1,28.01785,
,,,,,,,,
Krysuvik-Trolladyngja_00,"[0, 1]",[ 63.9298231  -22.38935457],23/03/2021 13:13,8,-29,0,29,
,,,,,,,,
Krysuvik-Trolladyngja_00,"[1, 3]",[ 63.72866211 -22.57336526],23/03/2021 13:14,8,-29,-1,29.017237,
,,,,,,,,
Krysuvik-Trolladyngja_00,"[2, 4]",[ 63.89986876 -21.8858321 ],23/03/2021 13:14,9,28,0,28,
,,,,,,,,
Krysuvik-Trolladyngja_00,"[4, 5]",[ 63.69922256 -22.07361603],23/03/2021 13:14,9,28,0,28,
,,,,,,,,
Krysuvik-Trolladyngja_01,"[0, 1]",[ 63.92986978 -22.39151881],02/04/2021 13:13,8,-29,0,29,
,,,,,,,,
Krysuvik-Trolladyngja_01,"[1, 3]",[ 63.72863251 -22.57578547],02/04/2021 13:14,8,-29,-1,29.017237,
,,,,,,,,
Krysuvik-Trolladyngja_01,"[2, 4]",[ 63.89987441 -21.88828066],02/04/2021 13:14,9,28,0,28,
,,,,,,,,
Krysuvik-Trolladyngja_01,"[4, 5]",[ 63.69918924 -22.07589465],02/04/2021 13:14,9,28,0,28,
,,,,,,,,
Krysuvik-Trolladyngja_02,"[0, 2]",[ 63.88283381 -22.01839545],19/04/2021 13:03,4,-29,1,29.017237,
,,,,,,,,
Krysuvik-Trolladyngja_02,"[1, 3]",[ 64.00994644 -22.44049112],19/04/2021 13:03,3,28,0,28,
,,,,,,,,
Krysuvik-Trolladyngja_02,"[2, 4]",[ 63.67947647 -22.1867907 ],19/04/2021 13:03,4,-29,0,29,
,,,,,,,,
Krysuvik-Trolladyngja_02,"[3, 5]",[ 63.80615319 -22.60640091],19/04/2021 13:04,3,28,0,28,
,,,,,,,,
Krysuvik-Trolladyngja_03,"[0, 2]",[ 63.89241092 -22.01381064],07/08/2021 13:04,4,-29,1,29.017237,
,,,,,,,,
Krysuvik-Trolladyngja_03,"[1, 3]",[ 64.01957227 -22.43575772],07/08/2021 13:04,3,29,0,29,
,,,,,,,,
Krysuvik-Trolladyngja_03,"[2, 4]",[ 63.68910082 -22.18227277],07/08/2021 13:04,4,-29,1,29.017237,
,,,,,,,,
Krysuvik-Trolladyngja_03,"[3, 5]",[ 63.81578639 -22.60189428],07/08/2021 13:04,3,28,0,28,
,,,,,,,,
La_Palma_00,"[0, 2]",[ 28.71915298 -17.80297272],20/09/2021 12:03,10,-29,-1,29.017237,
,,,,,,,,
La_Palma_00,"[1, 3]",[ 28.83321995 -18.0287129 ],20/09/2021 12:03,9,28,0,28,
,,,,,,,,
La_Palma_00,"[2, 4]",[ 28.50664309 -17.8615473 ],20/09/2021 12:03,10,-29,-1,29.017237,
,,,,,,,,
Mayon_00,"[0, 2]",[ 13.35192071 123.6824836 ],20/01/2018 02:23,7,28,0,28,
,,,,,,,,
Mayon_00,"[1, 3]",[ 13.03391101 123.83511814],20/01/2018 02:23,8,-29,0,29,
,,,,,,,,
Mayon_00,"[2, 4]",[ 13.13802361 123.63355431],20/01/2018 02:23,7,28,0,28,
,,,,,,,,
Mayon_01,"[0, 1]",[ 13.32038554 123.67650837],30/01/2018 02:23,7,28,0,28,
,,,,,,,,
Mayon_01,"[1, 2]",[ 13.10635284 123.62750447],30/01/2018 02:23,7,28,0,28,
,,,,,,,,
Mayon_02,"[0, 1]",[ 13.37346926 123.68979356],09/02/2018 02:23,7,28,0,28,
,,,,,,,,
Mayon_02,"[1, 2]",[ 13.15949385 123.64079449],09/02/2018 02:23,7,28,0,28,
,,,,,,,,
Nyamulagira_00,"[0, 1]",[-1.31880093 29.12849867],18/04/2018 08:30,4,-29,1,29.017237,
,,,,,,,,
Nyamulagira_00,"[1, 3]",[-1.53287979 29.08130318],18/04/2018 08:30,4,-29,1,29.017237,
,,,,,,,,
Nyamulagira_00,"[2, 4]",[-1.30693364 29.35306001],18/04/2018 08:30,5,28,0,28,
,,,,,,,,
Nyamulagira_00,"[4, 5]",[-1.52090327 29.30573071],18/04/2018 08:30,5,28,0,28,
,,,,,,,,
Nyamulagira_01,"[0, 1]",[-1.33677215 29.1268529 ],25/08/2021 08:30,4,-29,1,29.017237,
,,,,,,,,
Nyamulagira_01,"[1, 3]",[-1.5506528  29.07971292],25/08/2021 08:30,4,-29,1,29.017237,
,,,,,,,,
Nyamulagira_01,"[2, 4]",[-1.32463229 29.35155384],25/08/2021 08:30,5,28,-1,28.01785,
,,,,,,,,
Nyamulagira_01,"[4, 5]",[-1.53836728 29.30424967],25/08/2021 08:30,5,28,0,28,
,,,,,,,,
Nyamulagira_02,"[0, 1]",[-1.34381224 29.11640889],13/03/2022 08:30,4,-29,1,29.017237,
,,,,,,,,
Nyamulagira_02,"[1, 3]",[-1.55768795 29.06920835],13/03/2022 08:30,4,-29,1,29.017237,
,,,,,,,,
Nyamulagira_02,"[2, 4]",[-1.33164442 29.34104399],13/03/2022 08:30,5,28,0,28,
,,,,,,,,
Nyamulagira_02,"[4, 5]",[-1.54551668 29.29376042],13/03/2022 08:30,5,28,0,28,
,,,,,,,,
Piton_de_la_Fournaise_00,"[0, 1]",[-21.19888873  55.71103266],01/01/2022 06:35,8,-29,0,29,
,,,,,,,,
Piton_de_la_Fournaise_00,"[1, 2]",[-21.41203161  55.65953509],01/01/2022 06:35,8,-29,0,29,
,,,,,,,,
Piton_de_la_Fournaise_01,"[0, 1]",[-21.16440425  55.72028689],06/01/2022 06:35,8,-29,0,29,
,,,,,,,,
