,satellite,registration_mode,detector,S09_01,S08_02,S05_03,S10_03,S05_04,S11_05,S07_06,S8A_07,S03_08,S10_09,S04_10,S06_11,S01_12,S11_8A,S12_8A
30,S2B,upsampling,8,"[-29, 0]","[-165, -1]","[-236, -1]","[-34, -2]","[-83, -1]","[-66, -2]","[-83, 0]","[-84, 0]","[-166, -1]","[184, 1]","[-98, 2]","[-18, 1]","[-23, 1]","[186, -1]","[-13, -1]"
31,S2B,downsampling,8,"[-29, 0]","[-165, -1]","[-236, -1]","[-34, -2]","[-83, -1]","[-66, -2]","[-83, 0]","[-84, 0]","[-166, -1]","[184, 1]","[-98, 2]","[-18, 1]","[-23, 1]","[186, -1]","[-13, -1]"
32,S2A,upsampling,9,"[28, 0]","[166, 1]","[235, 0]","[38, -10]","[83, 0]","[74, -10]","[83, 0]","[81, 0]","[166, 1]","[-179, -11]","[74, 20]","[8, 11]","[21, 11]","[-173, -11]","[24, -11]"
33,S2A,downsampling,9,"[28, 0]","[166, 1]","[235, 0]","[38, -10]","[83, 0]","[74, -10]","[83, 0]","[81, 0]","[166, 1]","[-179, -11]","[74, 20]","[8, 11]","[21, 11]","[-173, -11]","[24, -11]"
34,S2B,upsampling,9,"[28, 0]","[165, 1]","[234, 0]","[38, -2]","[83, 0]","[76, -1]","[83, 0]","[82, 0]","[165, 1]","[-179, -2]","[76, 4]","[6, 1]","[20, 1]","[-171, -2]","[25, -1]"
35,S2B,downsampling,9,"[28, 0]","[165, 1]","[234, 0]","[38, -2]","[83, 0]","[76, -1]","[83, 0]","[82, 0]","[165, 1]","[-179, -2]","[76, 4]","[6, 1]","[20, 1]","[-171, -2]","[25, -1]"
36,S2A,upsampling,10,"[-29, -1]","[-165, -1]","[-237, -2]","[-36, -12]","[-83, -1]","[-68, -12]","[-84, -1]","[-85, -1]","[-166, -1]","[183, -5]","[-88, 22]","[-17, 11]","[-22, 11]","[185, -9]","[-15, -12]"
37,S2A,downsampling,10,"[-29, -1]","[-165, -1]","[-237, -2]","[-36, -12]","[-83, -1]","[-68, -12]","[-84, -1]","[-85, -1]","[-166, -1]","[183, -5]","[-88, 22]","[-17, 11]","[-22, 11]","[185, -9]","[-15, -12]"
38,S2B,upsampling,10,"[-29, -1]","[-165, -2]","[-236, -3]","[-34, -3]","[-83, -1]","[-65, -1]","[-84, -1]","[-84, -1]","[-166, -1]","[184, 4]","[-98, 4]","[-19, 0]","[-23, 0]","[187, 2]","[-12, -1]"
39,S2B,downsampling,10,"[-29, -1]","[-165, -2]","[-236, -3]","[-34, -3]","[-83, -1]","[-65, -1]","[-84, -1]","[-84, -1]","[-166, -1]","[184, 4]","[-98, 4]","[-19, 0]","[-23, 0]","[187, 2]","[-12, -1]"
40,S2A,upsampling,11,"[28, 0]","[167, 1]","[238, 1]","[38, -11]","[84, 0]","[75, -10]","[84, 0]","[83, 0]","[169, 1]","[-183, -14]","[82, 26]","[8, 11]","[22, 11]","[-176, -12]","[24, -11]"
41,S2A,downsampling,11,"[28, 0]","[167, 1]","[238, 1]","[38, -11]","[84, 0]","[75, -10]","[84, 0]","[83, 0]","[169, 1]","[-183, -14]","[82, 26]","[8, 11]","[22, 11]","[-176, -12]","[24, -11]"
42,S2B,upsampling,11,"[-29, -1]","[-165, -2]","[-236, -3]","[-34, -3]","[-83, -1]","[-65, -1]","[-84, -1]","[-84, -1]","[-166, -1]","[184, 4]","[-98, 4]","[-19, 0]","[-23, 0]","[187, 2]","[-12, -1]"
43,S2B,downsampling,11,"[-29, -1]","[-165, -2]","[-236, -3]","[-34, -3]","[-83, -1]","[-65, -1]","[-84, -1]","[-84, -1]","[-166, -1]","[184, 4]","[-98, 4]","[-19, 0]","[-23, 0]","[187, 2]","[-12, -1]"
44,S2A,upsampling,12,"[-30, -2]","[-172, -3]","[-244, -4]","[-36, -14]","[-86, -2]","[-70, -12]","[-86, -2]","[-87, -2]","[-172, -3]","[191, -1]","[-104, 26]","[-18, 10]","[-23, 9]","[192, -7]","[-15, -11]"
45,S2A,downsampling,12,"[-30, -2]","[-172, -3]","[-244, -4]","[-36, -14]","[-86, -2]","[-70, -12]","[-86, -2]","[-87, -2]","[-172, -3]","[191, -1]","[-104, 26]","[-18, 10]","[-23, 9]","[192, -7]","[-15, -11]"
46,S2B,upsampling,12,"[-29, -1]","[-165, -2]","[-236, -3]","[-34, -3]","[-83, -1]","[-65, -1]","[-84, -1]","[-84, -1]","[-166, -1]","[184, 4]","[-98, 4]","[-19, 0]","[-23, 0]","[187, 2]","[-12, -1]"
47,S2B,downsampling,12,"[-29, -1]","[-165, -2]","[-236, -3]","[-34, -3]","[-83, -1]","[-65, -1]","[-84, -1]","[-84, -1]","[-166, -1]","[184, 4]","[-98, 4]","[-19, 0]","[-23, 0]","[187, 2]","[-12, -1]"
